Date,Open,High,Low,Close*,Adj Close**,Volume
Feb 11 2022,9455.67,9497.77,9235.65,9271.80,9271.80,-
Feb 10 2022,9553.85,9628.53,9410.11,9450.72,9450.72,-
Feb 09 2022,9539.55,9629.44,9539.55,9623.84,9623.84,-
Feb 08 2022,9397.85,9505.43,9367.39,9484.95,9484.95,-
Feb 07 2022,9451.76,9485.55,9380.04,9405.84,9405.84,-
Feb 04 2022,9403.37,9522.52,9337.81,9440.58,9440.58,-
Feb 03 2022,9512.15,9527.81,9375.78,9390.57,9390.57,-
Feb 02 2022,9576.70,9637.31,9530.76,9624.89,9624.89,-
Feb 01 2022,9478.40,9543.08,9403.30,9534.95,9534.95,-
Jan 31 2022,9294.26,9472.55,9257.74,9469.92,9469.92,-
Jan 28 2022,9093.63,9295.43,9002.10,9294.21,9294.21,-
Jan 27 2022,9185.60,9286.11,9036.83,9072.24,9072.24,-
Jan 26 2022,9243.42,9337.02,9026.70,9120.75,9120.75,-
Jan 25 2022,9155.69,9248.57,8989.10,9134.33,9134.33,-
Jan 24 2022,9134.01,9261.56,8854.41,9246.84,9246.84,-
Jan 21 2022,9375.27,9423.62,9216.12,9221.28,9221.28,-
Jan 20 2022,9534.44,9649.12,9389.01,9398.96,9398.96,-
Jan 19 2022,9619.02,9667.84,9497.89,9503.14,9503.14,-
Jan 18 2022,9711.50,9711.50,9578.47,9595.93,9595.93,-
Jan 14 2022,9723.40,9780.23,9674.68,9775.53,9775.53,-
Jan 13 2022,9923.60,9945.45,9749.25,9767.35,9767.35,-
Jan 12 2022,9912.07,9953.78,9866.34,9907.38,9907.38,-
Jan 11 2022,9787.31,9880.62,9722.60,9879.39,9879.39,-
Jan 10 2022,9758.38,9795.33,9605.42,9789.72,9789.72,-
Jan 07 2022,9847.08,9868.62,9773.90,9803.85,9803.85,-
Jan 06 2022,9836.34,9902.52,9791.01,9841.92,9841.92,-
Jan 05 2022,10033.87,10053.81,9848.38,9850.70,9850.70,-
Jan 04 2022,10067.74,10097.30,10004.61,10044.75,10044.75,-
Jan 03 2022,10011.81,10050.55,9970.14,10050.41,10050.41,-
Dec 31 2021,10005.61,10029.96,9985.79,9986.70,9986.70,-
Dec 30 2021,10044.99,10075.65,10005.82,10012.51,10012.51,-
Dec 29 2021,10032.35,10064.40,10010.43,10041.61,10041.61,-
Dec 28 2021,10046.67,10070.63,10014.48,10027.53,10027.53,-
Dec 27 2021,9917.84,10038.25,9917.84,10037.67,10037.67,-
Dec 23 2021,9854.57,9931.33,9854.57,9900.30,9900.30,-
Dec 22 2021,9742.12,9840.80,9733.90,9838.90,9838.90,-
Dec 21 2021,9625.07,9742.73,9600.52,9738.73,9738.73,-
Dec 20 2021,9609.54,9609.54,9490.58,9567.91,9567.91,-
Dec 17 2021,9744.76,9774.20,9635.95,9678.03,9678.03,-
Dec 16 2021,9883.76,9910.21,9743.39,9778.09,9778.09,-
Dec 15 2021,9710.22,9868.89,9657.38,9863.92,9863.92,-
Dec 14 2021,9723.70,9760.21,9647.46,9705.06,9705.06,-
Dec 13 2021,9863.22,9863.22,9774.32,9776.69,9776.69,-
Dec 10 2021,9815.56,9869.70,9779.29,9866.62,9866.62,-
Dec 09 2021,9822.49,9831.42,9771.57,9773.19,9773.19,-
Dec 08 2021,9821.02,9850.63,9787.08,9842.68,9842.68,-
Dec 07 2021,9697.52,9827.28,9697.52,9812.20,9812.20,-
Dec 06 2021,9522.37,9656.51,9506.46,9613.02,9613.02,-
Dec 03 2021,9608.19,9646.98,9410.82,9501.28,9501.28,-
Dec 02 2021,9430.31,9619.96,9430.31,9581.79,9581.79,-
Dec 01 2021,9634.11,9738.92,9443.20,9446.21,9446.21,-
Nov 30 2021,9711.62,9723.29,9544.47,9558.33,9558.33,-
Nov 29 2021,9686.30,9778.71,9679.16,9741.78,9741.78,-
Nov 26 2021,9760.75,9760.75,9595.20,9614.25,9614.25,-
Nov 24 2021,9783.85,9840.22,9750.71,9837.60,9837.60,-
Nov 23 2021,9789.09,9832.07,9735.08,9814.65,9814.65,-
Nov 22 2021,9859.07,9925.67,9797.04,9798.29,9798.29,-
Nov 19 2021,9850.73,9870.10,9821.25,9828.80,9828.80,-
Nov 18 2021,9834.35,9851.25,9776.65,9842.35,9842.35,-
Nov 17 2021,9835.11,9835.11,9799.36,9808.27,9808.27,-
Nov 16 2021,9787.00,9861.11,9787.00,9831.91,9831.91,-
Nov 15 2021,9807.11,9823.76,9773.24,9793.53,9793.53,-
Nov 12 2021,9735.49,9804.69,9726.29,9793.22,9793.22,-
Nov 11 2021,9743.23,9753.17,9720.18,9722.08,9722.08,-
Nov 10 2021,9765.96,9796.31,9683.80,9716.72,9716.72,-
Nov 09 2021,9841.12,9843.27,9765.26,9795.12,9795.12,-
Nov 08 2021,9828.35,9856.42,9813.56,9828.81,9828.81,-
Nov 05 2021,9823.60,9863.59,9786.18,9819.98,9819.98,-
Nov 04 2021,9746.69,9788.64,9746.29,9782.48,9782.48,-
Nov 03 2021,9677.93,9746.13,9658.34,9740.47,9740.47,-
Nov 02 2021,9641.76,9687.07,9641.76,9677.95,9677.95,-
Nov 01 2021,9636.06,9656.38,9603.77,9642.44,9642.44,-
Oct 29 2021,9557.09,9630.58,9547.97,9625.02,9625.02,-
Oct 28 2021,9535.06,9607.34,9535.06,9605.23,9605.23,-
Oct 27 2021,9570.90,9579.39,9511.23,9511.27,9511.27,-
Oct 26 2021,9567.55,9608.79,9548.20,9559.39,9559.39,-
Oct 25 2021,9515.26,9554.58,9481.14,9541.99,9541.99,-
Oct 22 2021,9499.42,9527.70,9453.20,9496.86,9496.86,-
Oct 21 2021,9470.26,9510.33,9459.20,9506.91,9506.91,-
Oct 20 2021,9453.23,9487.45,9453.19,9477.82,9477.82,-
Oct 19 2021,9396.55,9444.65,9394.67,9443.12,9443.12,-
Oct 18 2021,9326.17,9378.35,9292.54,9373.68,9373.68,-
Oct 15 2021,9292.67,9351.37,9292.67,9342.15,9342.15,-
Oct 14 2021,9165.35,9275.77,9165.35,9272.97,9272.97,-
Oct 13 2021,9104.29,9134.46,9045.60,9116.39,9116.39,-
Oct 12 2021,9125.63,9139.38,9071.27,9088.73,9088.73,-
Oct 11 2021,9161.41,9224.89,9110.39,9110.76,9110.76,-
Oct 08 2021,9205.44,9216.65,9163.19,9173.74,9173.74,-
Oct 07 2021,9157.69,9254.28,9157.69,9191.19,9191.19,-
Oct 06 2021,9021.60,9117.57,8961.01,9113.45,9113.45,-
Oct 05 2021,9001.33,9125.19,9001.33,9076.19,9076.19,-
Oct 04 2021,9081.66,9095.22,8935.78,8980.64,8980.64,-
Oct 01 2021,9014.98,9136.15,8955.17,9098.25,9098.25,-
Sep 30 2021,9126.65,9151.44,8993.60,8994.83,8994.83,-
Sep 29 2021,9108.78,9157.12,9093.47,9102.62,9102.62,-
Sep 28 2021,9227.15,9227.15,9074.93,9087.47,9087.47,-
Sep 27 2021,9273.81,9305.39,9261.67,9275.87,9275.87,-
Sep 24 2021,9265.08,9317.45,9250.82,9301.49,9301.49,-
Sep 23 2021,9199.64,9322.00,9199.64,9287.80,9287.80,-
Sep 22 2021,9117.19,9220.08,9117.19,9176.08,9176.08,-
Sep 21 2021,9131.84,9174.47,9076.91,9089.55,9089.55,-
Sep 20 2021,9190.93,9190.93,8988.44,9096.52,9096.52,-
Sep 17 2021,9330.29,9332.97,9242.69,9253.57,9253.57,-
Sep 16 2021,9345.59,9363.70,9276.30,9338.61,9338.61,-
Sep 15 2021,9283.50,9365.51,9264.71,9352.83,9352.83,-
Sep 14 2021,9349.70,9362.72,9258.68,9273.99,9273.99,-
Sep 13 2021,9337.98,9375.32,9277.27,9325.29,9325.29,-
Sep 10 2021,9404.89,9432.57,9302.29,9304.03,9304.03,-
Sep 09 2021,9417.16,9452.39,9373.45,9375.99,9375.99,-
Sep 08 2021,9426.97,9434.42,9376.59,9418.57,9418.57,-
Sep 07 2021,9462.72,9462.72,9416.02,9430.68,9430.68,-
Sep 03 2021,9456.25,9475.07,9433.05,9462.54,9462.54,-
Sep 02 2021,9460.32,9483.83,9439.97,9465.47,9465.47,-
Sep 01 2021,9446.98,9464.28,9432.99,9437.15,9437.15,-
Aug 31 2021,9448.33,9451.56,9419.41,9433.58,9433.58,-
Aug 30 2021,9413.88,9463.03,9413.88,9445.24,9445.24,-
Aug 27 2021,9330.60,9412.35,9330.60,9404.15,9404.15,-
Aug 26 2021,9371.27,9375.46,9319.65,9321.74,9321.74,-
Aug 25 2021,9364.03,9387.43,9354.05,9376.00,9376.00,-
Aug 24 2021,9351.28,9368.81,9347.14,9355.11,9355.11,-
Aug 23 2021,9280.13,9362.63,9280.13,9341.09,9341.09,-
Aug 20 2021,9196.46,9266.77,9188.73,9261.31,9261.31,-
Aug 19 2021,9137.36,9212.67,9106.70,9186.07,9186.07,-
Aug 18 2021,9258.71,9286.43,9168.55,9173.93,9173.93,-
Aug 17 2021,9301.11,9301.11,9208.94,9271.83,9271.83,-
Aug 16 2021,9299.55,9338.10,9250.38,9337.18,9337.18,-
Aug 13 2021,9305.92,9313.11,9297.78,9312.51,9312.51,-
Aug 12 2021,9266.45,9299.16,9245.38,9297.20,9297.20,-
Aug 11 2021,9255.89,9270.90,9243.97,9267.40,9267.40,-
Aug 10 2021,9242.21,9261.78,9230.32,9244.22,9244.22,-
Aug 09 2021,9246.33,9249.71,9219.70,9235.05,9235.05,-
Aug 06 2021,9227.50,9251.55,9227.50,9243.03,9243.03,-
Aug 05 2021,9184.32,9226.89,9184.32,9226.49,9226.49,-
Aug 04 2021,9198.44,9198.80,9165.97,9170.76,9170.76,-
Aug 03 2021,9149.99,9213.86,9109.06,9213.35,9213.35,-
Aug 02 2021,9179.40,9210.19,9133.47,9138.36,9138.36,-
Jul 30 2021,9154.92,9190.48,9143.90,9155.21,9155.21,-
Jul 29 2021,9171.85,9226.73,9171.85,9204.25,9204.25,-
Jul 28 2021,9169.44,9195.31,9141.24,9164.62,9164.62,-
Jul 27 2021,9197.33,9197.33,9106.01,9166.27,9166.27,-
Jul 26 2021,9183.14,9210.20,9174.58,9209.63,9209.63,-
Jul 23 2021,9123.92,9194.38,9123.92,9187.64,9187.64,-
Jul 22 2021,9082.04,9099.94,9058.85,9094.95,9094.95,-
Jul 21 2021,9018.58,9077.99,9018.58,9075.97,9075.97,-
Jul 20 2021,8881.10,9030.29,8875.55,9001.77,9001.77,-
Jul 19 2021,8946.00,8946.00,8814.47,8867.07,8867.07,-
Jul 16 2021,9093.75,9109.09,9000.45,9009.89,9009.89,-
Jul 15 2021,9097.06,9097.06,9038.24,9078.33,9078.33,-
Jul 14 2021,9119.95,9147.73,9083.08,9107.85,9107.85,-
Jul 13 2021,9120.83,9144.30,9091.45,9096.15,9096.15,-
Jul 12 2021,9102.80,9131.39,9085.35,9128.22,9128.22,-
Jul 09 2021,9013.21,9101.02,9013.21,9096.84,9096.84,-
Jul 08 2021,8995.79,9016.18,8929.86,8995.26,8995.26,-
Jul 07 2021,9056.32,9078.77,9012.63,9071.14,9071.14,-
Jul 06 2021,9067.64,9067.64,8980.05,9040.76,9040.76,-
Jul 02 2021,9005.10,9065.09,9005.10,9058.66,9058.66,-
Jul 01 2021,8950.11,8990.55,8950.11,8990.08,8990.08,-
Jun 30 2021,8928.53,8952.48,8923.52,8942.78,8942.78,-
Jun 29 2021,8933.61,8948.72,8920.76,8930.67,8930.67,-
Jun 28 2021,8915.53,8930.54,8894.24,8927.40,8927.40,-
Jun 25 2021,8893.79,8917.81,8886.97,8906.79,8906.79,-
Jun 24 2021,8857.26,8886.95,8857.26,8877.06,8877.06,-
Jun 23 2021,8840.48,8855.62,8824.46,8825.01,8825.01,-
Jun 22 2021,8789.16,8854.11,8774.33,8834.56,8834.56,-
Jun 21 2021,8682.61,8792.48,8682.61,8789.52,8789.52,-
Jun 18 2021,8747.50,8747.50,8663.78,8667.76,8667.76,-
Jun 17 2021,8779.49,8803.68,8728.90,8782.58,8782.58,-
Jun 16 2021,8838.52,8844.70,8742.17,8786.18,8786.18,-
