http://www.econ.yale.edu/~shiller/data.htm (data from my spreadsheet, not Shiller's -- don't forget to bold values in DCA -- or to update END_DATE)
Date,P,D,E,CPI,Date Fraction,Real Price,Real Dividend,Real Total Return Price
1871.01,4.44,0.26,0.40,12.46,1871.04,93.18,5.46,93.18
1871.02,4.50,0.26,0.40,12.84,1871.13,91.64,5.29,92.08
1871.03,4.61,0.26,0.40,13.03,1871.21,92.51,5.22,93.39
1871.04,4.74,0.26,0.40,12.56,1871.29,98.72,5.42,100.12
1871.05,4.86,0.26,0.40,12.27,1871.38,103.58,5.54,105.51
1871.06,4.82,0.26,0.40,12.08,1871.46,104.34,5.63,106.77
1871.07,4.73,0.26,0.40,12.08,1871.54,102.39,5.63,105.25
1871.08,4.79,0.26,0.40,11.89,1871.63,105.35,5.72,108.78
1871.09,4.84,0.26,0.40,12.18,1871.71,103.96,5.58,107.82
1871.1,4.59,0.26,0.40,12.37,1871.79,97.07,5.50,101.16
1871.11,4.64,0.26,0.40,12.37,1871.88,98.13,5.50,102.74
1871.12,4.74,0.26,0.40,12.65,1871.96,97.98,5.37,103.05
1872.01,4.86,0.26,0.40,12.65,1872.04,100.46,5.44,106.14
1872.02,4.88,0.27,0.41,12.65,1872.13,100.87,5.51,107.06
1872.03,5.04,0.27,0.41,12.84,1872.21,102.64,5.50,109.42
1872.04,5.18,0.27,0.41,13.13,1872.29,103.20,5.44,110.50
1872.05,5.18,0.28,0.41,13.13,1872.38,103.20,5.51,110.99
1872.06,5.13,0.28,0.42,13.03,1872.46,102.95,5.62,111.22
1872.07,5.10,0.28,0.42,12.84,1872.54,103.86,5.77,112.73
1872.08,5.04,0.29,0.42,12.94,1872.63,101.88,5.80,111.11
1872.09,4.95,0.29,0.42,13.03,1872.71,99.33,5.82,108.86
1872.1,4.97,0.29,0.43,12.75,1872.79,101.97,6.02,112.29
1872.11,4.95,0.30,0.43,13.13,1872.88,98.61,5.91,109.14
1872.12,5.07,0.30,0.43,12.94,1872.96,102.49,6.06,113.99
1873.01,5.11,0.30,0.43,12.94,1873.04,103.30,6.12,115.46
1873.02,5.15,0.31,0.44,13.23,1873.13,101.86,6.03,114.41
1873.03,5.11,0.31,0.44,13.23,1873.21,101.07,6.08,114.09
1873.04,5.04,0.31,0.44,13.23,1873.29,99.69,6.13,113.11
1873.05,5.05,0.31,0.44,12.94,1873.38,102.09,6.32,116.43
1873.06,4.98,0.32,0.45,12.56,1873.46,103.72,6.56,118.92
1873.07,4.97,0.32,0.45,12.56,1873.54,103.51,6.61,119.31
1873.08,4.97,0.32,0.45,12.56,1873.63,103.51,6.66,119.95
1873.09,4.59,0.32,0.45,12.56,1873.71,95.60,6.72,111.43
1873.1,4.19,0.33,0.46,12.27,1873.79,89.30,6.93,104.76
1873.11,4.04,0.33,0.46,11.89,1873.88,88.86,7.20,104.94
1873.12,4.42,0.33,0.46,12.18,1873.96,94.94,7.09,112.82
1874.01,4.66,0.33,0.46,12.37,1874.04,98.55,6.98,117.81
1874.02,4.80,0.33,0.46,12.37,1874.13,101.51,6.98,122.04
1874.03,4.73,0.33,0.46,12.37,1874.21,100.03,6.98,120.96
1874.04,4.60,0.33,0.46,12.18,1874.29,98.80,7.09,120.19
1874.05,4.48,0.33,0.46,12.08,1874.38,96.98,7.14,118.70
1874.06,4.46,0.33,0.46,11.80,1874.46,98.88,7.32,121.77
1874.07,4.46,0.33,0.46,11.89,1874.54,98.09,7.26,121.54
1874.08,4.47,0.33,0.46,11.80,1874.63,99.11,7.32,123.56
1874.09,4.54,0.33,0.46,11.80,1874.71,100.66,7.32,126.25
1874.1,4.53,0.33,0.46,11.61,1874.79,102.08,7.44,128.82
1874.11,4.57,0.33,0.46,11.51,1874.88,103.84,7.50,131.81
1874.12,4.54,0.33,0.46,11.51,1874.96,103.15,7.50,131.74
1875.01,4.54,0.33,0.45,11.51,1875.04,103.15,7.44,132.53
1875.02,4.53,0.33,0.44,11.51,1875.13,102.93,7.38,133.03
1875.03,4.59,0.32,0.44,11.51,1875.21,104.29,7.33,135.58
1875.04,4.65,0.32,0.43,11.61,1875.29,104.79,7.21,137.01
1875.05,4.47,0.32,0.42,11.32,1875.38,103.27,7.34,135.83
1875.06,4.38,0.32,0.41,11.13,1875.46,102.92,7.40,136.18
1875.07,4.39,0.31,0.40,11.13,1875.54,103.16,7.34,137.30
1875.08,4.41,0.31,0.39,11.23,1875.63,102.75,7.22,137.56
1875.09,4.37,0.31,0.39,11.13,1875.71,102.69,7.23,138.28
1875.1,4.30,0.31,0.38,11.13,1875.79,101.04,7.17,136.87
1875.11,4.37,0.30,0.37,11.04,1875.88,103.57,7.17,141.11
1875.12,4.37,0.30,0.36,10.94,1875.96,104.47,7.17,143.15
1876.01,4.46,0.30,0.35,10.85,1876.04,107.56,7.23,148.20
1876.02,4.52,0.30,0.35,10.85,1876.13,109.01,7.23,151.03
1876.03,4.51,0.30,0.34,10.85,1876.21,108.76,7.23,151.53
1876.04,4.34,0.30,0.33,10.75,1876.29,105.59,7.30,147.96
1876.05,4.18,0.30,0.33,10.37,1876.38,105.43,7.57,148.61
1876.06,4.15,0.30,0.32,10.09,1876.46,107.64,7.78,152.64
1876.07,4.10,0.30,0.31,10.09,1876.54,106.34,7.78,151.72
1876.08,3.93,0.30,0.31,10.18,1876.63,100.98,7.71,144.99
1876.09,3.69,0.30,0.30,10.28,1876.71,93.93,7.64,135.78
1876.1,3.67,0.30,0.29,10.47,1876.79,91.73,7.50,133.50
1876.11,3.60,0.30,0.29,10.56,1876.87,89.17,7.43,130.67
1876.12,3.58,0.30,0.28,10.75,1876.96,87.10,7.30,128.54
1877.01,3.55,0.29,0.28,10.94,1877.04,84.87,6.95,126.10
1877.02,3.34,0.28,0.28,10.66,1877.12,81.99,6.91,122.67
1877.03,3.17,0.27,0.29,10.18,1877.21,81.45,7.00,122.74
1877.04,2.94,0.26,0.29,10.47,1877.29,73.48,6.58,111.56
1877.05,2.94,0.25,0.29,10.66,1877.37,72.17,6.24,110.36
1877.06,2.73,0.25,0.29,10.09,1877.46,70.81,6.35,109.08
1877.07,2.85,0.24,0.29,10.18,1877.54,73.23,6.06,113.59
1877.08,3.05,0.23,0.29,9.80,1877.62,81.41,6.05,127.07
1877.09,3.24,0.22,0.30,9.70,1877.71,87.33,5.86,137.07
1877.1,3.31,0.21,0.30,9.70,1877.79,89.22,5.61,140.76
1877.11,3.26,0.20,0.30,9.51,1877.87,89.63,5.48,142.13
1877.12,3.25,0.19,0.30,9.51,1877.96,89.35,5.22,142.38
1878.01,3.25,0.19,0.30,9.23,1878.04,92.11,5.36,147.50
1878.02,3.18,0.19,0.30,9.13,1878.12,91.07,5.39,146.55
1878.03,3.24,0.19,0.30,8.94,1878.21,94.76,5.48,153.22
1878.04,3.33,0.19,0.30,8.85,1878.29,98.44,5.52,159.92
1878.05,3.34,0.19,0.30,8.56,1878.37,102.03,5.68,166.51
1878.06,3.41,0.19,0.31,8.37,1878.46,106.53,5.78,174.65
1878.07,3.48,0.18,0.31,8.47,1878.54,107.50,5.69,177.01
1878.08,3.45,0.18,0.31,8.56,1878.62,105.39,5.60,174.30
1878.09,3.52,0.18,0.31,8.56,1878.71,107.53,5.57,178.61
1878.1,3.48,0.18,0.31,8.47,1878.79,107.50,5.61,179.34
1878.11,3.47,0.18,0.31,8.37,1878.87,108.41,5.65,181.64
