date,return
1926-01-01,0
1926-02-01,-0.0385
1926-03-01,-0.0575
1926-04-01,0.0253
1926-05-01,0.0179
1926-06-01,0.0457
1926-07-01,0.0479
1926-08-01,0.0248
1926-09-01,0.0252
1926-10-01,-0.0284
1926-11-01,0.0347
1926-12-01,0.0196
1927-01-01,-0.0193
1927-02-01,0.0537
1927-03-01,0.0087
1927-04-01,0.0201
1927-05-01,0.0607
1927-06-01,-0.0067
1927-07-01,0.067
1927-08-01,0.0515
1927-09-01,0.045
1927-10-01,-0.0502
1927-11-01,0.0721
1927-12-01,0.0279
1928-01-01,-0.004
1928-02-01,-0.0125
1928-03-01,0.1101
1928-04-01,0.0345
1928-05-01,0.0197
1928-06-01,-0.0385
1928-07-01,0.0141
1928-08-01,0.0803
1928-09-01,0.0259
1928-10-01,0.0168
1928-11-01,0.1292
1928-12-01,0.0049
1929-01-01,0.0583
1929-02-01,-0.0019
1929-03-01,-0.0012
1929-04-01,0.0176
1929-05-01,-0.0362
1929-06-01,0.114
1929-07-01,0.0471
1929-08-01,0.1028
1929-09-01,-0.0476
1929-10-01,-0.1973
1929-11-01,-0.1246
1929-12-01,0.0282
1930-01-01,0.0639
1930-02-01,0.0259
1930-03-01,0.0812
1930-04-01,-0.008
1930-05-01,-0.0096
1930-06-01,-0.1625
1930-07-01,0.0386
1930-08-01,0.0141
1930-09-01,-0.1282
1930-10-01,-0.0855
1930-11-01,-0.0089
1930-12-01,-0.0706
1931-01-01,0.0502
1931-02-01,0.1193
1931-03-01,-0.0675
1931-04-01,-0.0935
1931-05-01,-0.1279
1931-06-01,0.1421
1931-07-01,-0.0722
1931-08-01,0.0182
1931-09-01,-0.2973
1931-10-01,0.0896
1931-11-01,-0.0798
1931-12-01,-0.14
1932-01-01,-0.0271
1932-02-01,0.057
1932-03-01,-0.1158
1932-04-01,-0.1997
1932-05-01,-0.2196
1932-06-01,-0.0022
1932-07-01,0.3815
1932-08-01,0.3869
1932-09-01,-0.0346
1932-10-01,-0.1349
1932-11-01,-0.0417
1932-12-01,0.0565
1933-01-01,0.0087
1933-02-01,-0.1772
1933-03-01,0.0353
1933-04-01,0.4256
1933-05-01,0.1683
1933-06-01,0.1338
1933-07-01,-0.0862
1933-08-01,0.1206
1933-09-01,-0.1118
1933-10-01,-0.0855
1933-11-01,0.1127
1933-12-01,0.0253
1934-01-01,0.1069
1934-02-01,-0.0322
1934-03-01,0
1934-04-01,-0.0251
1934-05-01,-0.0736
1934-06-01,0.0229
1934-07-01,-0.1132
1934-08-01,0.0611
1934-09-01,-0.0033
1934-10-01,-0.0286
1934-11-01,0.0942
1934-12-01,-0.001
1935-01-01,-0.0411
1935-02-01,-0.0341
1935-03-01,-0.0286
1935-04-01,0.098
1935-05-01,0.0409
1935-06-01,0.0699
1935-07-01,0.085
1935-08-01,0.028
1935-09-01,0.0256
1935-10-01,0.0777
1935-11-01,0.0474
1935-12-01,0.0394
1936-01-01,0.067
1936-02-01,0.0224
1936-03-01,0.0268
1936-04-01,-0.0751
1936-05-01,0.0545
1936-06-01,0.0333
1936-07-01,0.0701
1936-08-01,0.0151
1936-09-01,0.0031
1936-10-01,0.0775
1936-11-01,0.0134
1936-12-01,-0.0029
1937-01-01,0.039
1937-02-01,0.0191
1937-03-01,-0.0077
1937-04-01,-0.0809
1937-05-01,-0.0024
1937-06-01,-0.0504
1937-07-01,0.1045
1937-08-01,-0.0483
1937-09-01,-0.1403
1937-10-01,-0.0981
1937-11-01,-0.0866
1937-12-01,-0.0459
1938-01-01,0.0152
1938-02-01,0.0674
1938-03-01,-0.2487
1938-04-01,0.1447
1938-05-01,-0.033
1938-06-01,0.2503
1938-07-01,0.0744
1938-08-01,-0.0226
1938-09-01,0.0166
1938-10-01,0.0776
1938-11-01,-0.0273
1938-12-01,0.0401
1939-01-01,-0.0674
1939-02-01,0.039
1939-03-01,-0.1339
1939-04-01,-0.0027
1939-05-01,0.0733
1939-06-01,-0.0612
1939-07-01,0.1105
1939-08-01,-0.0648
1939-09-01,0.1673
1939-10-01,-0.0123
1939-11-01,-0.0398
1939-12-01,0.027
1940-01-01,-0.0336
1940-02-01,0.0133
1940-03-01,0.0124
1940-04-01,-0.0024
1940-05-01,-0.2289
1940-06-01,0.0809
1940-07-01,0.0341
1940-08-01,0.035
1940-09-01,0.0123
1940-10-01,0.0422
1940-11-01,-0.0316
1940-12-01,0.0009
1941-01-01,-0.0463
1941-02-01,-0.006
1941-03-01,0.0071
1941-04-01,-0.0612
1941-05-01,0.0183
1941-06-01,0.0578
1941-07-01,0.0579
1941-08-01,0.001
1941-09-01,-0.0068
1941-10-01,-0.0657
1941-11-01,-0.0284
1941-12-01,-0.0407
1942-01-01,0.0161
1942-02-01,-0.0159
1942-03-01,-0.0652
1942-04-01,-0.04
1942-05-01,0.0796
1942-06-01,0.0221
1942-07-01,0.0337
1942-08-01,0.0164
1942-09-01,0.029
1942-10-01,0.0678
1942-11-01,-0.0021
1942-12-01,0.0549
1943-01-01,0.0737
1943-02-01,0.0583
1943-03-01,0.0545
1943-04-01,0.0035
1943-05-01,0.0552
1943-06-01,0.0223
1943-07-01,-0.0526
1943-08-01,0.0171
1943-09-01,0.0263
1943-10-01,-0.0108
1943-11-01,-0.0654
1943-12-01,0.0617
1944-01-01,0.0171
